Date,Temp,Precipitation,Snowfall,Fog,Ice,Crashes
2017-01-01,41,0.54,0,Yes,No,5
2017-01-02,46.9,1.08,0,Yes,No,10
2017-01-03,46.9,0.31,0,Yes,No,15
2017-01-04,41,0,0,Yes,No,22
2017-01-05,29.1,0,0,No,No,10
2017-01-06,32,0.25,0,Yes,Yes,15
2017-01-07,20.1,0.6,0.51,Yes,Yes,3
2017-01-08,15.3,0,0,No,No,9
2017-01-09,9.1,0,0,No,No,5
2017-01-10,24.3,0,0,No,No,6
2017-01-11,39.9,0,0,Yes,No,7
2017-01-12,54,0,0,No,No,18
2017-01-13,50,0.01,0,No,No,13
2017-01-14,42.1,0,0,No,No,15
2017-01-15,39.9,0.02,0,Yes,No,8
2017-01-16,44.1,0,0,No,No,9
2017-01-17,46.9,0.04,0,Yes,No,13
2017-01-18,45,0,0,No,No,12
2017-01-19,36,0,0,No,No,11
2017-01-20,46,0.09,0,Yes,No,15
2017-01-21,51.1,0.38,0,Yes,No,13
2017-01-22,53.1,0.09,0,Yes,No,8
2017-01-23,43,0.28,0,Yes,No,7
2017-01-24,41,0,0,No,No,15
2017-01-25,36,0,0,Yes,No,18
2017-01-26,43,0.06,0,No,No,11
2017-01-27,30.2,0,0,No,No,11
2017-01-28,27.1,0,0,No,No,7
2017-01-29,30.2,0.02,0,No,No,7
2017-01-30,30.2,0,0,No,No,10
2017-01-31,31.1,0,0,No,No,11
2017-02-01,42.1,0,0,No,No,17
2017-02-02,37,0,0,No,No,11
2017-02-03,34,0.06,0,Yes,No,12
2017-02-04,26.2,0,0,No,No,9
2017-02-05,27.1,0.01,0,No,Yes,7
2017-02-06,31.1,0,0,No,No,17
2017-02-07,48.9,0,0,No,No,17
2017-02-08,54,0.09,0,Yes,No,8
2017-02-09,32,0.11,0,Yes,No,15
2017-02-10,26.2,0,0,No,No,14
2017-02-11,41,0,0,No,No,6
2017-02-12,57.9,0.05,0,Yes,No,7
2017-02-13,37,0,0,No,No,18
2017-02-14,30.2,0,0,No,No,16
2017-02-15,39,0.34,0,Yes,No,17
2017-02-16,32,0,0,No,No,17
2017-02-17,34,0,0,No,No,10
2017-02-18,37,0,0,No,No,10
2017-02-19,44.1,0,0,No,No,1
2017-02-20,42.1,0,0,No,No,5
2017-02-21,44.1,0,0,No,No,5
2017-02-22,51.1,0,0,No,No,10
2017-02-23,50,0,0,Yes,No,9
2017-02-24,46.9,0,0,Yes,No,12
2017-02-25,52,0,0,No,No,17
2017-02-26,37,0,0,No,No,7
2017-02-27,35.1,0,0,No,No,7
2017-02-28,50,0,0,No,No,10
2017-03-01,59,0.97,0,Yes,No,6
2017-03-02,39,0,0,No,No,18
2017-03-03,31.1,0,0,No,No,16
2017-03-04,25.2,0,0,No,No,3
2017-03-05,30.2,0,0,No,No,5
2017-03-06,34,0,0,No,No,17
2017-03-07,48.9,0,0,No,No,12
2017-03-08,46,0.05,0,Yes,No,17
2017-03-09,37,0,0,No,No,22
2017-03-10,41,0,0,No,No,13
2017-03-11,31.1,0,0,No,No,7
2017-03-12,30.2,0.03,0.31,Yes,No,6
2017-03-13,26.2,0.56,0,Yes,No,12
2017-03-14,30.2,0.25,0,Yes,No,19
2017-03-15,24.3,0,0,No,No,11
2017-03-16,24.3,0,0,No,No,12
2017-03-17,23.2,0.03,0,Yes,No,16
