Date,Temp,Precipitation,Snowfall,Fog,Ice,Crashes
2013-01-01,43,0.21,0,Yes,No,4
2013-01-02,39.9,0.24,0,Yes,No,8
2013-01-03,28.9,0,0,Yes,No,11
2013-01-04,26.1,0,0,Yes,No,9
2013-01-05,25,0,0,No,No,7
2013-01-06,35.1,0,0,No,No,10
2013-01-07,28.9,0,0,No,No,13
2013-01-08,28,0,0,No,No,5
2013-01-09,35.1,0,0,Yes,No,13
2013-01-10,46,0,0,No,No,12
2013-01-11,41,0.22,0,Yes,No,15
2013-01-12,48.9,0,0,No,No,9
2013-01-13,55,0,0,Yes,No,7
2013-01-14,57.9,0,0,No,No,5
2013-01-15,44.1,0.01,0,Yes,No,9
2013-01-16,42.1,0.18,0,Yes,No,16
2013-01-17,33.1,1.41,0.71,No,Yes,13
2013-01-18,28.9,0.06,0.12,Yes,No,18
2013-01-19,26.1,0,0,No,No,6
2013-01-20,35.1,0,0,No,No,5
2013-01-21,28.9,0,0,No,No,1
2013-01-22,25,0,0,No,No,8
2013-01-23,18,0,0,No,No,4
2013-01-24,21,0,0,No,No,10
2013-01-25,19.9,0.32,0.2,No,Yes,17
2013-01-26,27,0,0,No,No,13
2013-01-27,21.9,0,0,No,No,10
2013-01-28,32,0.01,0,Yes,No,2
2013-01-29,44.1,0,0,No,No,6
2013-01-30,61,0.35,0,Yes,No,6
2013-01-31,33.1,0.09,0,Yes,No,14
2013-02-01,26.1,0,0,No,No,8
2013-02-02,19,0,0,No,No,10
2013-02-03,35.1,0,0,No,No,2
2013-02-04,26.1,0,0,No,No,6
2013-02-05,39,0,0,No,No,7
2013-02-06,30,0,0,No,No,13
2013-02-07,36,0.43,0,No,No,10
2013-02-08,39,0.59,0,Yes,No,7
2013-02-09,28,0,0,No,No,8
2013-02-10,25,0.03,0,No,No,3
2013-02-11,45,0.05,0,Yes,No,8
2013-02-12,46.9,0,0,No,No,10
2013-02-13,42.1,0.23,0,Yes,No,11
2013-02-14,30.9,0,0,No,No,16
2013-02-15,28.9,0,0,No,No,13
2013-02-16,32,0.39,0.71,Yes,No,8
2013-02-17,24.1,0,0,No,No,3
2013-02-18,18,0,0,No,No,9
2013-02-19,35.1,0.14,0,Yes,No,6
2013-02-20,27,0,0,No,No,11
2013-02-21,25,0,0,No,No,11
2013-02-22,32,0.36,0,No,Yes,12
2013-02-23,36,0.92,0,Yes,No,6
2013-02-24,39.9,0.08,0,Yes,No,5
2013-02-25,32,0,0,No,No,7
2013-02-26,36,0.86,0,Yes,No,10
2013-02-27,43,0,0,Yes,No,9
2013-02-28,33.1,0,0,No,No,14
2013-03-01,28,0,0,No,No,7
2013-03-02,26.1,0,0,No,No,17
2013-03-03,27,0,0,No,No,2
2013-03-04,26.1,0,0,No,No,11
2013-03-05,35.1,0.41,0,Yes,No,16
2013-03-06,37,0.01,0,Yes,No,5
2013-03-07,30,0,0,No,No,9
2013-03-08,30.9,0,0,No,No,14
2013-03-09,33.1,0,0,No,No,7
2013-03-10,32,0,0,No,No,4
2013-03-11,39,0,0,No,No,8
2013-03-12,48,0.65,0,Yes,No,7
2013-03-13,34,0,0,No,No,9
2013-03-14,28.9,0,0,No,No,10
2013-03-15,28,0,0,No,No,12
2013-03-16,46,0,0,No,No,12
2013-03-17,39,0,0,Yes,No,7
2013-03-18,37.9,0.28,0,Yes,No,10
2013-03-19,39.9,0,0,Yes,No,13
2013-03-20,37.9,0,0,No,No,6
2013-03-21,30.9,0,0,No,No,14
2013-03-22,23,0,0,No,No,12
2013-03-23,35.1,0,0,No,No,10
2013-03-24,34,0.73,0,Yes,No,6
2013-03-25,35.1,0,0,Yes,No,11
2013-03-26,32,0,0,No,No,8
2013-03-27,34,0,0,No,No,6
2013-03-28,28,0,0,No,No,10
2013-03-29,28,0,0,No,No,8
2013-03-30,37.9,0,0,No,No,9
2013-03-31,48,0.87,0,No,No,2
2013-04-01,48.9,0.01,0,Yes,No,7
2013-04-02,35.1,0,0,No,No,10
2013-04-03,39,0,0,No,No,6
2013-04-04,39,0.72,0,No,No,7
2013-04-05,39,0.04,0,Yes,No,17
2013-04-06,39,0,0,Yes,No,11
2013-04-07,36,0,0,No,No,6
2013-04-08,52,0,0,No,No,11
2013-04-09,57,0,0,No,No,6
2013-04-10,60.1,0,0,No,No,11
2013-04-11,62.1,0,0,No,No,12
2013-04-12,63,1.04,0,Yes,No,11
2013-04-13,52,0,0,No,No,7
2013-04-14,44.1,0,0,No,No,11
2013-04-15,57.9,0.02,0,No,No,9
2013-04-16,57.9,0,0,No,No,13
2013-04-17,57.9,0,0,No,No,20
2013-04-18,62.1,0,0,No,No,9
2013-04-19,64,0.57,0,No,No,23
2013-04-20,44.1,0.01,0,No,No,13
2013-04-21,41,0,0,No,No,3
2013-04-22,35.1,0.01,0,Yes,No,9
2013-04-23,46.9,0.13,0,Yes,No,3
2013-04-24,48.9,0,0,No,No,17
2013-04-25,50,0,0,No,No,10
2013-04-26,46,0,0,No,No,17
2013-04-27,53.1,0,0,No,No,12
2013-04-28,55,0.97,0,Yes,No,5
2013-04-29,55,0.86,0,Yes,No,13
2013-04-30,57,0,0,No,No,14
2013-05-01,57,0.01,0,Yes,No,8
2013-05-02,52,0,0,Yes,No,12
2013-05-03,48,0,0,No,No,10
2013-05-04,48.9,0,0,No,No,1
2013-05-05,50,0,0,No,No,3
2013-05-06,55.9,1.41,0,No,No,17
2013-05-07,50,0,0,No,No,4
2013-05-08,52,0.18,0,No,No,9
2013-05-09,54,0,0,No,No,9
2013-05-10,55.9,0,0,No,No,10
2013-05-11,64.9,0.3,0,Yes,No,8
2013-05-12,52,0,0,No,No,7
2013-05-13,44.1,0,0,No,No,15
2013-05-14,39,0,0,No,No,12
2013-05-15,55,0,0,No,No,8
2013-05-16,62.1,0,0,No,No,11
2013-05-17,61,0,0,No,No,9
2013-05-18,62.1,0.42,0,No,No,8
2013-05-19,64,0.54,0,Yes,No,12
2013-05-20,66.9,1.47,0,No,No,14
2013-05-21,69.1,0,0,No,No,8
2013-05-22,69.1,0.01,0,No,No,17
2013-05-23,64.9,0.18,0,No,No,8
2013-05-24,52,0,0,No,No,12
2013-05-25,41,0,0,No,No,8
2013-05-26,48,0,0,No,No,6
2013-05-27,48.9,0,0,No,No,3
2013-05-28,64,0,0,No,No,12
2013-05-29,63,0,0,No,No,6
2013-05-30,64,0,0,No,No,14
2013-05-31,66,0,0,No,No,16
