Date,Temp,Precipitation,Snowfall,Fog,Ice,Crashes
2012-01-01,35.1,0.01,0,No,No,6
2012-01-02,32,0,0,No,No,7
2012-01-03,24.1,0,0,No,No,6
2012-01-04,19,0,0,No,No,5
2012-01-05,30,0,0,No,No,11
2012-01-06,33.1,0,0,No,No,8
2012-01-07,39,0,0,No,No,10
2012-01-08,48,0.02,0,No,No,2
2012-01-09,43,0.28,0,Yes,No,8
2012-01-10,43,0,0,Yes,No,8
2012-01-11,44.1,0.61,0,Yes,No,13
2012-01-12,44.1,0,0,No,No,9
2012-01-13,30,0,0,No,No,14
2012-01-14,23,0,0,No,No,13
2012-01-15,30,0,0,No,No,5
2012-01-16,27,0,0,No,No,10
2012-01-17,42.1,0.1,0,Yes,No,4
2012-01-18,36,0.11,0,Yes,No,16
2012-01-19,27,0,0,No,No,6
2012-01-20,33.1,0.19,0,Yes,No,7
2012-01-21,36,0.42,0,Yes,No,20
2012-01-22,32,0,0,Yes,No,8
2012-01-23,36,0,0,Yes,No,8
2012-01-24,43,0,0,Yes,No,8
2012-01-25,34,0,0,Yes,No,6
2012-01-26,39.9,0,0,Yes,No,5
2012-01-27,46,0.22,0,Yes,No,18
2012-01-28,32,0,0,No,No,11
2012-01-29,32,0,0,No,No,2
2012-01-30,28,0,0,No,No,8
2012-01-31,36,0,0,No,No,4
2012-02-01,46.9,0,0,No,No,6
2012-02-02,48.9,0.02,0,No,No,7
2012-02-03,34,0,0,No,No,10
2012-02-04,37.9,0.23,0,No,No,9
2012-02-05,32,0.15,0,Yes,No,8
2012-02-06,30.9,0,0,Yes,No,6
2012-02-07,32,0,0,No,No,9
2012-02-08,28.9,0,0,Yes,No,9
2012-02-09,28,0,0,No,No,11
2012-02-10,28.9,0,0,No,No,7
2012-02-11,25,0,0,No,No,8
2012-02-12,21,0,0,No,No,5
2012-02-13,21.9,0,0,No,No,9
2012-02-14,39,0,0,No,No,11
2012-02-15,41,0,0,No,No,14
2012-02-16,42.1,0.25,0,Yes,No,9
2012-02-17,42.1,0,0,No,No,13
2012-02-18,39.9,0,0,No,No,6
2012-02-19,33.1,0.71,0.91,Yes,No,8
2012-02-20,30,0,0,Yes,No,16
2012-02-21,28,0,0,No,No,9
2012-02-22,41,0,0,No,No,13
2012-02-23,45,0.2,0,No,No,15
2012-02-24,50,0.09,0,Yes,No,6
2012-02-25,36,0,0,No,No,10
2012-02-26,25,0,0,No,No,5
2012-02-27,33.1,0.24,0,Yes,No,10
2012-02-28,41,0,0,Yes,No,6
2012-02-29,48,0.05,0,Yes,No,11
2012-03-01,52,0.01,0,No,No,17
2012-03-02,44.1,0.02,0,No,No,9
2012-03-03,51.1,0.73,0,No,No,9
2012-03-04,34,0.17,0,No,No,2
2012-03-05,32,0,0,No,No,10
2012-03-06,27,0,0,No,No,5
2012-03-07,34,0,0,No,No,8
2012-03-08,48,0,0,No,No,7
2012-03-09,39.9,0.28,0,Yes,No,3
2012-03-10,39,0,0,No,No,15
2012-03-11,30.9,0,0,No,No,6
2012-03-12,42.1,0,0,No,No,14
2012-03-13,57,0.02,0,No,No,13
2012-03-14,54,0,0,Yes,No,5
2012-03-15,54,0,0,No,No,12
2012-03-16,57.9,0.19,0,Yes,No,4
2012-03-17,57.9,0.1,0,Yes,No,10
2012-03-18,57.9,0.87,0,Yes,No,1
2012-03-19,53.1,0.33,0,No,No,15
2012-03-20,57.9,1.58,0,No,No,21
2012-03-21,60.1,0.04,0,No,No,2
2012-03-22,59,0,0,Yes,No,5
2012-03-23,60.1,0.03,0,Yes,No,11
2012-03-24,55.9,0.66,0,No,No,11
2012-03-25,55.9,0.03,0,Yes,No,9
2012-03-26,53.1,0.03,0,No,No,9
2012-03-27,39,0,0,No,No,7
2012-03-28,44.1,0,0,No,No,8
2012-03-29,55.9,0,0,No,No,13
2012-03-30,48.9,0,0,No,No,9
2012-03-31,59,0.27,0,No,No,11
2012-04-01,48.9,0,0,No,No,5
2012-04-02,48.9,0,0,No,No,10
2012-04-03,42.1,0,0,No,No,12
2012-04-04,57,0.62,0,No,No,6
2012-04-05,46.9,0.17,0,Yes,No,6
2012-04-06,39.9,0.05,0,No,No,10
2012-04-07,37,0,0,No,No,8
2012-04-08,37.9,0,0,Yes,No,5
2012-04-09,45,0,0,No,No,6
2012-04-10,46,0,0,No,No,10
2012-04-11,43,0,0,No,No,5
2012-04-12,32,0,0,No,No,16
2012-04-13,36,0,0,No,No,12
2012-04-14,42.1,0,0,No,No,9
2012-04-15,57.9,0,0,No,No,4
2012-04-16,60.1,0,0,No,No,8
2012-04-17,60.1,0,0,No,No,13
2012-04-18,55,0.31,0,No,No,8
2012-04-19,52,0,0,Yes,No,11
