crash_date
NO
2012-01-03 15:41:00+00:00
2012-01-03 20:06:26+00:00
1:59:06 PM
2012-01-04 23:11:50+00:00
2012-01-06 01:44:13+00:00
2012-01-06 01:40:49+00:00
2012-01-05 17:19:00+00:00
10:53 AM
2012-01-06 17:37:00+00:00
2012-01-05 19:21:28+00:00
9:06:20 PM
11:58 PM
2012-01-06 04:20:00+00:00
2012-01-09 16:20:00+00:00
11:13 AM
2012-01-10 19:50:41+00:00
2012-01-11 03:59:00+00:00
2012-01-11 12:03:02+00:00
2012-01-11 10:39:02+00:00
2012-01-11 02:22:53+00:00
2012-01-11 13:07:16+00:00
2012-01-11 01:27:48+00:00
8:14:24 AM
2012-01-16 14:54:16+00:00
2012-01-14 18:35:21+00:00
2012-01-16 18:09:56+00:00
2012-01-16 20:16:22+00:00
2012-01-12 22:35:28+00:00
3:33:32 PM
2012-01-14 00:41:26+00:00
2012-01-14 18:28:36+00:00
2012-01-14 17:24:00+00:00
2012-01-14 17:19:00+00:00
2012-01-14 23:24:54+00:00
2012-01-18 02:57:54+00:00
2012-01-18 14:27:39+00:00
2012-01-19 00:34:55+00:00
2012-01-17 18:18:24+00:00
2012-01-19 16:40:00+00:00
10:13 AM
2:01:17 PM
12:57 PM
2012-01-20 18:25:10+00:00
2012-01-20 22:47:02+00:00
8:12:40 PM
2012-01-23 03:15:00+00:00
2012-01-21 00:07:37+00:00
2012-01-21 14:13:06+00:00
2012-01-21 20:49:40+00:00
2012-01-21 23:31:25+00:00
2012-01-11 22:22:10+00:00
9:57:07 PM
2012-01-25 16:03:00+00:00
2012-01-25 00:13:47+00:00
2012-01-26 18:45:22+00:00
2012-01-28 01:58:17+00:00
2012-01-27 22:54:51+00:00
2012-01-28 01:29:23+00:00
2012-01-28 03:36:00+00:00
2012-01-28 19:26:07+00:00
2012-01-29 03:38:00+00:00
2012-01-31 19:04:56+00:00
2012-02-01 14:24:13+00:00
2012-01-27 18:45:15+00:00
12:45 PM
2012-02-04 16:52:00+00:00
2012-02-05 04:45:00+00:00
2012-02-04 03:40:00+00:00
2012-02-06 18:57:03+00:00
2012-02-05 19:48:33+00:00
2012-02-03 15:07:00+00:00
2012-02-03 15:00:00+00:00
3:04:15 PM
2012-02-07 12:26:33+00:00
2012-02-08 19:43:39+00:00
2012-02-09 12:57:57+00:00
2012-02-10 23:11:49+00:00
2012-02-11 03:34:00+00:00
2012-02-11 13:53:59+00:00
2012-02-12 15:01:00+00:00
2012-02-13 13:31:08+00:00
12:56 PM
2012-02-13 23:27:56+00:00
2012-02-14 17:59:00+00:00
2012-02-14 20:29:01+00:00
1:29:07 PM
9:58:21 PM
11:30 AM
2012-02-18 08:41:20+00:00
2012-02-19 22:24:39+00:00
2012-02-16 00:55:34+00:00
2012-02-17 18:30:31+00:00
2012-02-20 14:56:06+00:00
12:37 PM
2012-02-20 12:45:23+00:00
2012-02-15 12:51:28+00:00
2012-02-21 16:02:00+00:00
2012-02-22 01:34:25+00:00
2012-02-21 17:11:00+00:00
2012-02-22 02:23:13+00:00
9:55:40 AM
2012-02-23 14:57:17+00:00
2012-02-23 17:19:00+00:00
2012-02-23 18:33:39+00:00
2012-02-23 17:32:00+00:00
2012-02-22
2012-02-23 23:32:35+00:00
2012-02-22 23:30:27+00:00
2012-02-25 03:48:00+00:00
2012-02-26 02:30:38+00:00
2012-02-26 20:44:56+00:00
2012-02-22 20:09:05+00:00
2012-02-27 18:02:25+00:00
2012-02-28 21:15:17+00:00
2012-02-28 23:00:09+00:00
2012-02-23 17:55:00+00:00
2012-03-01 22:39:16+00:00
2012-03-02 02:28:29+00:00
2012-03-01 17:07:00+00:00
12:41 PM
2012-03-02 19:48:17+00:00
2012-03-03 21:52:11+00:00
2012-03-03 17:31:00+00:00
2012-03-02
2012-03-03 20:27:16+00:00
2012-03-02 19:12:35+00:00
2012-03-02 20:08:55+00:00
1:16:08 PM
2012-03-06 05:35:00+00:00
2012-03-05 19:03:09+00:00
2012-03-06 14:11:01+00:00
2012-03-01 18:44:53+00:00
12:40 PM
2012-02-15 22:52:43+00:00
2012-03-07 11:56:48+00:00
2012-03-10 02:30:37+00:00
2012-03-10 12:36:15+00:00
2012-03-12 13:14:56+00:00
2012-03-12 12:21:08+00:00
2012-03-13 11:16:54+00:00
2012-03-13 15:33:00+00:00
2012-03-13 18:46:18+00:00
2012-03-13 14:05:00+00:00
2012-03-13 20:10:00+00:00
2012-03-14 16:47:00+00:00
2012-03-14 23:03:33+00:00
9:49:43 PM
2012-03-10 22:52:24+00:00
2012-03-15 12:03:30+00:00
2012-03-15 23:56:42+00:00
3:58:21 PM
2012-03-16 13:20:54+00:00
2016-06-01 21:17:51+00:00
2016-05-29 02:44:00+00:00
2016-06-01 02:32:00+00:00
2016-06-01 22:14:53+00:00
2016-06-02 20:37:43+00:00
2016-06-02 23:40:55+00:00
2016-06-02 16:00:00+00:00
2016-06-02 10:53:28+00:00
2016-06-02 12:03:17+00:00
2016-06-03 15:20:00+00:00
2016-06-04 19:58:53+00:00
2016-05-31 16:57:00+00:00
2016-06-03 20:11:14+00:00
2016-06-04 01:31:09+00:00
2016-05-31 15:17:00+00:00
2016-06-05 18:34:26+00:00
8:48:22 PM
2016-06-05 18:34:26+00:00
2016-06-06 12:20:37+00:00
2016-06-07 02:42:00+00:00
2016-06-06 21:02:11+00:00
2016-06-07 20:33:51+00:00
2016-06-07 19:39:03+00:00
2016-06-07 15:57:00+00:00
2016-06-08 20:58:52+00:00
2016-06-10 11:40:45+00:00
2016-06-11 06:23:05+00:00
2016-06-10 22:10:50+00:00
2016-06-11 13:13:51+00:00
2016-06-12 13:25:30+00:00
2016-06-11 15:57:00+00:00
2016-06-13 17:26:27+00:00
2016-06-13 18:54:34+00:00
2016-06-10 01:32:30+00:00
2016-06-14 16:13:00+00:00
1:19:52 PM
2016-06-14 22:46:41+00:00
2016-06-15 21:26:05+00:00
2016-06-14 20:43:30+00:00
3:13:18 PM
2016-06-16 15:38:00+00:00
2016-06-16 21:10:26+00:00
6:00:47 PM
2016-06-15 04:58:00+00:00
2016-06-19 22:04:20+00:00
2016-06-17 21:22:54+00:00
10:50 AM
2016-06-18 15:07:00+00:00
2016-06-17 19:19:25+00:00
2016-06-19 01:45:02+00:00
8:02:05 PM
2016-06-18 22:47:50+00:00
2016-06-20 11:57:01+00:00
2016-06-20 20:48:02+00:00
2016-06-19 05:38:30+00:00
2016-06-21 06:17:48+00:00
2016-06-20 19:42:45+00:00
2016-06-15 19:10:06+00:00
2016-06-20 16:36:00+00:00
2016-06-18 01:48:44+00:00
1:34:08 PM
2016-06-23 02:07:00+00:00
2016-06-22 22:01:25+00:00
2016-06-21 20:49:19+00:00
2016-06-18 02:52:00+00:00
2016-06-23 12:15:18+00:00
9:32:54 PM
10:15 PM
2016-06-25 18:58:59+00:00
2016-06-25 17:24:50+00:00
2016-06-26 18:10:15+00:00
2016-06-26 22:48:16+00:00
2016-06-27 22:17:31+00:00
2016-06-27 21:55:22+00:00
2016-06-28 17:26:00+00:00
2016-06-28 19:31:19+00:00
2016-07-01 04:24:00+00:00
2016-06-29 20:58:59+00:00
2016-06-28 21:23:41+00:00
2016-07-01 15:53:00+00:00
2016-06-30 17:59:37+00:00
2016-07-01 18:48:11+00:00
2016-06-27 19:13:06+00:00
2016-06-30 22:42:34+00:00
7:08:56 PM
11:15 PM
2016-07-04 22:39:52+00:00
2016-07-03 13:23:26+00:00
2:01:57 PM
2016-07-03 14:14:00+00:00
2016-07-04 02:25:00+00:00
2016-07-02 17:05:24+00:00
2016-06-30 00:16:46+00:00
9:35:27 AM
2016-07-05 20:33:01+00:00
2016-07-06 20:13:59+00:00
2016-07-07 13:18:43+00:00
2016-07-06 16:09:00+00:00
2016-07-08 09:45:49+00:00
11:51 AM
2016-07-10 09:05:10+00:00
2016-07-08 20:41:52+00:00
2016-07-12 01:31:32+00:00
2016-07-12 11:29:01+00:00
2016-07-13 00:58:07+00:00
2016-07-14 23:28:44+00:00
2016-07-14 01:47:34+00:00
2016-07-14 15:14:00+00:00
2016-07-13 23:10:19+00:00
2016-07-14 22:00:39+00:00
1:20:23 PM
2016-07-13 17:50:25+00:00
2016-07-11 18:50:40+00:00
3:44:02 PM
2016-07-15 20:58:12+00:00
2016-07-16 20:17:32+00:00
2016-07-17 05:14:24+00:00
2016-07-16 19:20:33+00:00
2016-07-17 14:10:00+00:00
2016-07-16 19:50:16+00:00
2016-07-18 18:10:25+00:00
2016-07-18 19:20:49+00:00
2016-07-15 17:32:14+00:00
2016-07-13 15:59:00+00:00
2016-07-19 20:36:35+00:00
2016-07-19 21:10:16+00:00
2016-07-19 15:40:00+00:00
2016-07-19 13:27:48+00:00
2016-07-13 06:56:55+00:00
2016-07-21 19:24:18+00:00
2016-07-21 20:33:58+00:00
2016-07-14 04:30:00+00:00
2016-07-21 21:57:21+00:00
2016-07-19 11:50:33+00:00
1:26:45 PM
2016-07-21 14:24:00+00:00
2016-07-20 21:17:19+00:00
2016-07-15 20:20:39+00:00
2016-07-22 19:20:34+00:00
2016-07-22 15:29:00+00:00
2016-07-25 02:20:00+00:00
2016-07-25 00:00:12+00:00
2016-07-22 19:58:16+00:00
2016-07-23 22:12:07+00:00
2016-07-23 17:00:47+00:00
2016-07-25 15:24:00+00:00
2016-07-26 03:50:00+00:00
2016-07-25 11:14:35+00:00
2016-07-26 18:15:00+00:00
5:21:08 PM
2:46:13 PM
2016-07-25 11:34:08+00:00
2016-07-25 15:18:00+00:00
2016-07-28 17:55:17+00:00
6:46:53 AM
2016-07-28 14:44:00+00:00
2016-07-29 14:10:00+00:00
2016-07-28 18:46:35+00:00
2016-07-27 14:13:00+00:00
2016-07-28 18:20:33+00:00
2016-07-29 19:17:21+00:00
1:27:44 AM
2016-07-29 00:06:05+00:00
2016-07-30 02:04:00+00:00
2016-07-30 18:04:56+00:00
2016-07-30 19:16:10+00:00
2016-07-31 12:44:24+00:00
2016-08-01 18:30:32+00:00
4:45:07 PM
2016-08-01 21:42:59+00:00
2016-08-01 16:45:00+00:00
2016-08-02 21:57:11+00:00
2016-08-03 12:00:38+00:00
